Cluster,Gene_Count,Gene_List
ESM_Cluster_4,4,StonChr3AG063010.1; StonChr9AG274730.1; StonChr1AG027680.1; StonChr9BG288350.1
ESM_Cluster_3,16,StonChr4AG132400.1; StonChr4BG137410.1; StonChr9BG297190.1; StonChr5BG160060.1; StonChr5AG161850.1; StonChr9AG273990.1; StonChr6AG199250.1; StonChr1AG026330.1; StonChr9BG289460.1; StonChr4AG114580.1; StonChr7BG216310.1; StonChr6BG182170.1; StonChr4AG118750.1; StonChr9AG290850.1; StonChr5BG171480.1; StonChr5AG147240.1
ESM_Cluster_5,10,StonChr2AG051170.1; StonChr3BG084140.1; StonChr8BG275140.1; StonChr1AG034840.1; StonChr7AG237300.1; StonChr2BG052630.1; StonChr7AG211190.1; StonChr9AG286360.1; StonChr7BG218580.1; StonChr6AG206530.1
ESM_Cluster_7,7,StonChr3AG061670.1; StonChr1AG002740.1; StonChr9AG301910.1; StonChr5BG163490.1; StonChr6AG194150.1; StonChr9BG279070.1; StonChr1BG020600.1
ESM_Cluster_2,6,StonChr6AG202480.1; StonChr9AG271900.1; StonChr1BG000310.1; StonChr5AG150820.1; StonChr2BG045380.1; StonChr4BG136220.1
ESM_Cluster_1,4,StonChr3AG063460.1; StonChr5AG157750.1; StonChr9BG284910.1; StonChr3AG086420.1
ESM_Cluster_6,3,StonChr3AG095880.1; StonChr7AG225660.1; StonChr7AG220950.1
